term_index,term_id
1160,R-HSA-5625740
1161,R-HSA-5625886
1162,R-HSA-5625900
1163,R-HSA-5625970
1164,R-HSA-5626467
1165,R-HSA-5626978
1166,R-HSA-5627083
1167,R-HSA-5627117
1168,R-HSA-5627123
1169,R-HSA-5628897
1170,R-HSA-5632681
1171,R-HSA-5632684
1172,R-HSA-5632927
1173,R-HSA-5632928
1174,R-HSA-5632968
1175,R-HSA-5632987
1176,R-HSA-5633231
1177,R-HSA-5635838
1178,R-HSA-5635851
1179,R-HSA-5637810
1180,R-HSA-5638303
1181,R-HSA-5649702
1182,R-HSA-5651801
1183,R-HSA-5652227
1184,R-HSA-5653890
1185,R-HSA-5654219
1186,R-HSA-5654221
1187,R-HSA-5654227
1188,R-HSA-5654228
1189,R-HSA-5654687
1190,R-HSA-5654688
1191,R-HSA-5654689
1192,R-HSA-5654693
1193,R-HSA-5654695
